vulgar_words
f*ck
sh*t
a*shole
b*tch
d*ck
c*cksucker
motherf*cker
b*stard
p*ssy
tw*t
c*nt
f*cking
s*cks
n*gger
ch*nk
g*ok
p*ke
sp*c
w*g
k*ke
f*g
d*ke
s*ut
wh*re
h*eifer
m*ron
idi*t
f*ckwit
d*ckweed
sh*tstorm
kill
murder
rape
slaughter
assassinate
beat
stab
destroy
hurt
harm
go die
kill yourself
nobody loves you
worthless
loser
failure
trash
garbage
scum
f*ck off
sh*thead
f*ck you
